date,sum_fees_sats,sum_fees_usd,sum_block_vbytes
2009-01-12,0,,1777
2009-01-14,0,,427
2009-01-15,0,,2852
2009-01-16,0,,588
2009-01-18,0,,426
2009-01-19,0,,1946
2009-01-20,0,,997
2009-01-21,0,,312
2009-01-22,0,,1185
2009-01-23,0,,1155
2009-01-24,0,,1227
2009-01-25,0,,200
2009-01-26,0,,2324
2009-01-27,0,,426
2009-01-29,0,,1417
2009-01-31,0,,2326
2009-02-01,0,,271
2009-02-02,0,,159
2009-02-03,201000000,,4532
2009-02-07,0,,3159
2009-02-08,0,,224
2009-02-09,0,,5055
2009-02-11,0,,1766
2009-02-15,0,,1742
2009-02-16,0,,3463
2009-02-19,0,,1871
2009-02-22,0,,1555
2009-02-27,0,,4150
2009-02-28,0,,844
2009-03-03,0,,998
2009-03-04,0,,3018
2009-03-05,0,,953
2009-03-08,0,,3184
2009-03-12,0,,427
2009-03-13,0,,1521
2009-03-16,0,,5511
2009-03-18,0,,1687
2009-03-20,0,,1410
2009-03-22,0,,1342
2009-03-26,0,,3235
2009-03-28,0,,2414
2009-03-31,0,,3693
2009-04-05,0,,2024
2009-04-11,0,,887
2009-04-12,0,,1039
2009-04-13,0,,234
2009-04-18,0,,775
2009-04-19,0,,954
2009-04-20,0,,13240
2009-04-21,0,,234
2009-04-26,0,,1802
2009-04-29,0,,2318
2009-05-02,3000000,,1948
2009-05-03,0,,846
2009-05-04,0,,3469
2009-05-05,0,,1187
2009-05-11,10000000,,350
2009-05-13,0,,1093
2009-05-14,0,,749
2009-05-15,0,,1182
2009-05-29,0,,6883
2009-06-01,0,,276
2009-06-22,0,,6876
2009-06-24,0,,547
2009-06-25,0,,2321
2009-06-28,0,,235
2009-06-29,0,,234
2009-06-30,0,,453
2009-07-01,0,,273
2009-07-02,0,,235
2009-07-20,14000000,,13918
2009-07-29,0,,271
2009-07-30,0,,233
2009-08-07,13000000,,12767
2009-08-26,0,,5757
2009-08-30,0,,159
