month,bucket,bucket_type,tx_count
2009-01-01,0,sats,32
2009-01-01,NA,usd,32
2009-02-01,0,sats,34
2009-02-01,600+,sats,3
2009-02-01,NA,usd,37
2009-03-01,0,sats,21
2009-03-01,NA,usd,21
2009-04-01,0,sats,17
2009-04-01,NA,usd,17
2009-05-01,0,sats,16
2009-05-01,600+,sats,2
2009-05-01,NA,usd,18
2009-06-01,0,sats,8
2009-06-01,NA,usd,8
2009-07-01,0,sats,4
2009-07-01,600+,sats,1
2009-07-01,NA,usd,5
2009-08-01,0,sats,5
2009-08-01,600+,sats,1
2009-08-01,NA,usd,6
2009-09-01,0,sats,10
2009-09-01,600+,sats,1
2009-09-01,NA,usd,11
2009-10-01,0,sats,12
2009-10-01,600+,sats,1
2009-10-01,NA,usd,13
2009-11-01,0,sats,15
2009-11-01,NA,usd,15
2009-12-01,0,sats,35
2009-12-01,600+,sats,1
2009-12-01,NA,usd,36
2010-01-01,0,sats,50
2010-01-01,600+,sats,2
2010-01-01,NA,usd,52
2010-02-01,0,sats,147
2010-02-01,600+,sats,1
2010-02-01,NA,usd,148
2010-03-01,0,sats,197
2010-03-01,NA,usd,197
2010-04-01,0,sats,4052
2010-04-01,600+,sats,1
2010-04-01,NA,usd,4053
2010-05-01,0,sats,1267
2010-05-01,600+,sats,5
2010-05-01,NA,usd,1272
2010-06-01,0,sats,1931
2010-06-01,600+,sats,1
2010-06-01,NA,usd,1932
2010-07-01,0,sats,18216
2010-07-01,600+,sats,397
2010-07-01,$0,usd,7906
2010-07-01,$0-$0.00005,usd,298
2010-07-01,NA,usd,10409
2010-08-01,0,sats,5801
2010-08-01,0-2,sats,14
2010-08-01,600+,sats,137
2010-08-01,$0,usd,5801
2010-08-01,$0-$0.00005,usd,151
2010-09-01,0,sats,7549
2010-09-01,0-2,sats,9
2010-09-01,600+,sats,82
2010-09-01,$0,usd,7549
2010-09-01,$0-$0.00005,usd,91
2010-10-01,0,sats,8417
2010-10-01,0-2,sats,7
2010-10-01,130-170,sats,1
2010-10-01,600+,sats,66
2010-10-01,$0,usd,8417
2010-10-01,$0-$0.00005,usd,74
2010-11-01,0,sats,57156
2010-11-01,600+,sats,345
