period,days_since_coinbase,herfindal_index
First halving: 3 months following,0,0.95651060954755451
First halving: 3 months following,1,0.686176945386439
First halving: 3 months following,2,0.62006836146101352
First halving: 3 months following,3,0.59924497429080714
First halving: 3 months following,4,0.58551924409963585
First halving: 3 months following,5,0.57792544080749952
First halving: 3 months following,6,0.57148378891951179
First halving: 3 months following,7,0.56592883525318283
First halving: 3 months following,8,0.56130770448970624
First halving: 3 months following,9,0.55825120028822217
First halving: 3 months following,10,0.55581852535115917
First halving: 3 months following,11,0.553743212372536
First halving: 3 months following,12,0.55232175182483545
First halving: 3 months following,13,0.55102838816588862
First halving: 3 months following,14,0.54977209747915456
First halving: 3 months following,15,0.54851903655948009
First halving: 3 months following,16,0.54743187851983133
First halving: 3 months following,17,0.54623553170670913
First halving: 3 months following,18,0.545212263118955
First halving: 3 months following,19,0.54468130242846191
First halving: 3 months following,20,0.543911032693735
First halving: 3 months following,21,0.5429203176568459
First halving: 3 months following,22,0.54190694163611886
First halving: 3 months following,23,0.54138254551964793
First halving: 3 months following,24,0.54091005544128046
First halving: 3 months following,25,0.54049820410971627
First halving: 3 months following,26,0.539785508102935
First halving: 3 months following,27,0.53938566511096686
First halving: 3 months following,28,0.53869109686610128
First halving: 3 months preceding,0,0.95153714862968308
First halving: 3 months preceding,1,0.69862878258448557
First halving: 3 months preceding,2,0.64123670749789075
First halving: 3 months preceding,3,0.62068633268890017
First halving: 3 months preceding,4,0.606108852237473
First halving: 3 months preceding,5,0.59482656827957581
First halving: 3 months preceding,6,0.58703067383917851
First halving: 3 months preceding,7,0.580794551777499
First halving: 3 months preceding,8,0.57538644825187879
First halving: 3 months preceding,9,0.57138491256005008
First halving: 3 months preceding,10,0.56800157330756973
First halving: 3 months preceding,11,0.56537909635352346
First halving: 3 months preceding,12,0.563048047676204
First halving: 3 months preceding,13,0.56048682892432844
First halving: 3 months preceding,14,0.55878735142368108
First halving: 3 months preceding,15,0.5572563125749892
First halving: 3 months preceding,16,0.55597628653113085
First halving: 3 months preceding,17,0.55411200591058218
First halving: 3 months preceding,18,0.552607387739525
First halving: 3 months preceding,19,0.5513933300288858
First halving: 3 months preceding,20,0.55021426952420938
First halving: 3 months preceding,21,0.54958506963021581
First halving: 3 months preceding,22,0.54887048674265537
First halving: 3 months preceding,23,0.54795209607071316
First halving: 3 months preceding,24,0.54712454963539936
First halving: 3 months preceding,25,0.54640160853436859
First halving: 3 months preceding,26,0.54565397203290311
First halving: 3 months preceding,27,0.5450181744283904
First halving: 3 months preceding,28,0.54450516283606476
Second halving: 3 months following,0,0.98426877297131155
