pubkey,alias,first_seen,color
02e6d3123c5610951cf2f148cde55979811ab07c5d4c64e5b42d86c2778ecd4cff,JMLightningChile,2019-07-31 19:13:34,
033566003677d24837a6a8bbc66967969cfe114511e515cae002260d5b20390d4e,033566003677d24837a6,2020-04-26 00:38:19.997409,3399ff
036b48ae27f45bc497eb92b6a43da534f4d771b896e74d787db171200324690fca,036b48ae27f45bc497eb,2019-07-31 19:13:38,
03dd23fae9eeb1947d1a267f2c8a5560977355c453097331b0bae9de03f9f147c4,Kailua,2019-07-31 19:13:40,
02c72b9b3de09c55db7fd246b91b9974a35f7a1bef60c67ba770ccc3c4ddd790ef,ln.srn.ro,2019-07-31 19:13:40,
034143d1a45cb9bcb912eab97facf4a971098385c4701753d6bc40e52192d0c04f,SAUBY_K,2019-07-31 19:13:41,
035f7bc96fd1ab9db28931290e7cb7da9e22b8a3002e03b194c131c76d63c037cc,lootbox,2019-07-31 19:13:42,
0204630cc1c36426518889087eaf86c5fa7b88837d85a7f2139baef79a701be2fa,cac.informatik.tu-darmstadt.de,2020-04-26 00:38:20.230019,028ad1
03b1d927c210b5c4f91fe8514e7636c462d5cf9e9fd05e6a9ce221170c1564170f,loveandlight4dP,2019-07-31 19:13:45,
03260b2b1365ae3b6dd889e3a0964ca070b537d466d97a245a7a999183540a39cc,SixToes,2019-07-31 19:13:51,
02f60c56a5829c0e28f73bec1295d70173f39ccbca05509b731f43ebd30c733108,nandi,2020-04-26 00:38:20.45552,68f442
023ec3d1fa35f7fb8996374cf1848c1a40788df013551c5510c75617222bd2dd2d,seth586😈guides,2020-04-26 00:38:20.906401,3399ff
03c856dbd011d60c8896570a665baf48b256cbef27e7468f8a707e9cf8b858f7bf,nodl-lnd-s007-054,2020-04-26 00:38:21.133348,000000
03777354be5b2ba0e3f64e28f403741add84ffd9f91d6652d79181687920a41bd0,nodl-lnd-s007-057,2020-04-26 00:38:21.585626,000000
0246eaf6812013fb860306943f79a0e4fdc5971d5efaeb3cd58049545803bfb491,aurelius,2019-07-31 19:13:57,
02dc523b9db431de52d7adb79cf81dd3d780002f4ce952706053edc9da30d9b9f7,VIRGINIA_WOOLF,2019-07-31 19:13:58,
03b72d20a8a76753f5ba10fedb2d27cc43e7b885c48d4e796a5e7202498723ea84,RyuHayabusa,2019-07-31 19:14:00,
03d7f2e9e7dad997be696f94c4a8c1612aceeb6c7df45a8e52bca4336f59c639fc,niZmo,2019-07-31 19:14:00,
0335d12e461098c35a4ad74c1f3eb4d79af517a5e695944462a89c286472417b6d,0335d12e461098c35a4a,2019-07-31 19:14:01,
03760e053c5254c6f36ddbfdd2f5604714a48a7f0c6bb5bdf047c942a596395972,03760e053c5254c6f36d,2019-07-31 19:14:02,
02424c340f0ff29503c31566e8fb392300a99a9748575deefaac30e9bd8583fcdb,MNM-mainnodemunich,2019-07-31 19:14:03,
